1.000000	51.1	 971	49.9	 943	 944
2.000000	 100	1.89e+03	47.8	 892	 894
3.000000	 147	2.76e+03	45.8	 846	 847
4.000000	 192	3.58e+03	  44	 803	 804
5.000000	 235	4.37e+03	42.4	 764	 765
6.000000	 277	5.11e+03	40.9	 727	 728
7.000000	 317	5.82e+03	39.5	 693	 694
8.000000	 356	6.5e+03	38.3	 661	 662
9.000000	 393	7.14e+03	37.1	 631	 632
10.000000	 430	7.76e+03	  36	 603	 604
11.000000	 466	8.35e+03	  35	 577	 578
12.000000	 500	8.91e+03	34.1	 551	 552
13.000000	 534	9.45e+03	33.2	 528	 529
14.000000	 567	9.97e+03	32.4	 505	 506
15.000000	 599	1.05e+04	31.7	 483	 485
16.000000	 630	1.09e+04	  31	 463	 464
17.000000	 661	1.14e+04	30.3	 443	 444
18.000000	 691	1.18e+04	29.7	 424	 425
19.000000	 720	1.22e+04	29.1	 406	 407
20.000000	 749	1.26e+04	28.6	 389	 390
21.000000	 777	1.3e+04	28.1	 372	 373
22.000000	 805	1.34e+04	27.6	 356	 357
23.000000	 832	1.37e+04	27.1	 340	 341
24.000000	 859	1.41e+04	26.7	 325	 326
25.000000	 886	1.44e+04	26.3	 311	 312
26.000000	 912	1.47e+04	25.9	 296	 297
27.000000	 938	1.5e+04	25.6	 282	 284
28.000000	 963	1.53e+04	25.2	 269	 270
29.000000	 988	1.55e+04	24.9	 256	 257
30.000000	1.01e+03	1.58e+04	24.6	 243	 244
31.000000	1.04e+03	1.6e+04	24.4	 230	 232
32.000000	1.06e+03	1.62e+04	24.1	 218	 220
33.000000	1.09e+03	1.64e+04	23.9	 206	 208
34.000000	1.11e+03	1.66e+04	23.6	 194	 196
35.000000	1.13e+03	1.68e+04	23.4	 183	 184
36.000000	1.16e+03	1.7e+04	23.2	 172	 173
37.000000	1.18e+03	1.72e+04	  23	 160	 162
38.000000	1.2e+03	1.73e+04	22.9	 149	 151
39.000000	1.23e+03	1.75e+04	22.7	 139	 140
40.000000	1.25e+03	1.76e+04	22.6	 128	 130
41.000000	1.27e+03	1.77e+04	22.4	 117	 119
42.000000	1.29e+03	1.78e+04	22.3	 107	 109
43.000000	1.31e+03	1.79e+04	22.2	96.5	99.1
44.000000	1.34e+03	1.8e+04	22.1	86.3	89.1
45.000000	1.36e+03	1.81e+04	  22	76.1	79.3
46.000000	1.38e+03	1.82e+04	21.9	66.1	69.6
47.000000	1.4e+03	1.82e+04	21.8	56.1	60.2
48.000000	1.42e+03	1.83e+04	21.8	46.1	  51
49.000000	1.45e+03	1.83e+04	21.7	36.2	42.2
50.000000	1.47e+03	1.84e+04	21.7	26.3	34.1
51.000000	1.49e+03	1.84e+04	21.7	16.5	27.2
52.000000	1.51e+03	1.84e+04	21.6	6.67	22.6
53.000000	1.53e+03	1.84e+04	21.6	-3.14	21.8
54.000000	1.55e+03	1.84e+04	21.6	-12.9	25.2
55.000000	1.58e+03	1.84e+04	21.6	-22.7	31.3
56.000000	1.6e+03	1.83e+04	21.5	-32.5	  39
57.000000	1.62e+03	1.83e+04	21.5	-42.2	47.4
58.000000	1.64e+03	1.83e+04	21.4	-51.9	56.2
59.000000	1.66e+03	1.82e+04	21.4	-61.6	65.2
60.000000	1.68e+03	1.81e+04	21.3	-71.2	74.3
61.000000	1.7e+03	1.81e+04	21.3	-80.8	83.5
62.000000	1.73e+03	1.8e+04	21.2	-90.3	92.7
63.000000	1.75e+03	1.79e+04	21.1	-99.7	 102
64.000000	1.77e+03	1.78e+04	  21	-109	 111
65.000000	1.79e+03	1.77e+04	20.9	-118	 120
66.000000	1.81e+03	1.75e+04	20.8	-127	 129
67.000000	1.83e+03	1.74e+04	20.6	-136	 138
68.000000	1.85e+03	1.73e+04	20.5	-145	 147
69.000000	1.87e+03	1.71e+04	20.4	-154	 156
70.000000	1.89e+03	1.7e+04	20.2	-163	 164
71.000000	1.91e+03	1.68e+04	20.1	-171	 173
72.000000	1.93e+03	1.66e+04	19.9	-180	 181
73.000000	1.95e+03	1.64e+04	19.7	-188	 189
74.000000	1.97e+03	1.62e+04	19.6	-196	 197
75.000000	1.99e+03	1.6e+04	19.4	-204	 205
76.000000	2.01e+03	1.58e+04	19.2	-212	 213
77.000000	2.03e+03	1.56e+04	  19	-220	 221
78.000000	2.05e+03	1.54e+04	18.8	-228	 228
79.000000	2.07e+03	1.52e+04	18.6	-235	 236
80.000000	2.09e+03	1.49e+04	18.4	-242	 243
81.000000	2.1e+03	1.47e+04	18.2	-249	 250
82.000000	2.12e+03	1.44e+04	  18	-256	 257
83.000000	2.14e+03	1.42e+04	17.8	-263	 264
84.000000	2.16e+03	1.39e+04	17.6	-270	 270
85.000000	2.18e+03	1.36e+04	17.4	-276	 277
86.000000	2.19e+03	1.33e+04	17.2	-282	 283
87.000000	2.21e+03	1.31e+04	16.9	-289	 289
88.000000	2.23e+03	1.28e+04	16.7	-295	 295
89.000000	2.24e+03	1.25e+04	16.5	-300	 301
90.000000	2.26e+03	1.22e+04	16.2	-306	 306
91.000000	2.28e+03	1.19e+04	  16	-311	 312
92.000000	2.29e+03	1.15e+04	15.8	-317	 317
93.000000	2.31e+03	1.12e+04	15.6	-322	 322
94.000000	2.32e+03	1.09e+04	15.3	-327	 327
95.000000	2.34e+03	1.06e+04	15.1	-332	 332
96.000000	2.35e+03	1.02e+04	14.9	-337	 337
97.000000	2.37e+03	9.9e+03	14.6	-341	 342
98.000000	2.38e+03	9.55e+03	14.4	-346	 346
99.000000	2.4e+03	9.21e+03	14.2	-350	 350
100.000000	2.41e+03	8.85e+03	  14	-354	 354
101.000000	2.42e+03	8.5e+03	13.7	-358	 358
102.000000	2.44e+03	8.14e+03	13.5	-362	 362
103.000000	2.45e+03	7.77e+03	13.3	-366	 366
104.000000	2.46e+03	7.41e+03	13.1	-370	 370
105.000000	2.48e+03	7.04e+03	12.8	-373	 373
106.000000	2.49e+03	6.66e+03	12.6	-376	 377
107.000000	2.5e+03	6.28e+03	12.4	-380	 380
108.000000	2.51e+03	5.9e+03	12.2	-383	 383
109.000000	2.53e+03	5.52e+03	  12	-386	 386
110.000000	2.54e+03	5.13e+03	11.7	-389	 389
111.000000	2.55e+03	4.74e+03	11.5	-392	 392
112.000000	2.56e+03	4.35e+03	11.3	-395	 395
113.000000	2.57e+03	3.95e+03	11.1	-397	 397
114.000000	2.58e+03	3.55e+03	10.9	-400	 400
115.000000	2.59e+03	3.15e+03	10.7	-402	 402
116.000000	2.61e+03	2.75e+03	10.5	-405	 405
117.000000	2.62e+03	2.34e+03	10.3	-407	 407
118.000000	2.63e+03	1.93e+03	10.1	-409	 409
119.000000	2.64e+03	1.52e+03	9.95	-411	 411
120.000000	2.65e+03	1.11e+03	9.76	-413	 413
121.000000	2.66e+03	 697	9.57	-415	 415
122.000000	2.67e+03	 281	9.39	-417	 417
123.000000	2.67e+03	-137	9.21	-419	 419
