0.100000	5.22	99.6	52.1	 993	 994
0.200000	10.4	 199	51.9	 988	 989
0.300000	15.6	 297	51.6	 982	 983
0.400000	20.7	 395	51.4	 977	 978
0.500000	25.9	 492	51.2	 971	 973
0.600000	  31	 589	50.9	 966	 967
0.700000	36.1	 686	50.7	 961	 962
0.800000	41.1	 781	50.5	 955	 957
0.900000	46.2	 877	50.3	 950	 952
1.000000	51.2	 972	  50	 945	 946
1.100000	56.2	1.07e+03	49.8	 940	 941
1.200000	61.1	1.16e+03	49.6	 935	 936
1.300000	66.1	1.25e+03	49.4	 930	 931
1.400000	  71	1.35e+03	49.2	 925	 926
1.500000	75.9	1.44e+03	  49	 920	 921
1.600000	80.8	1.53e+03	48.8	 915	 917
1.700000	85.7	1.62e+03	48.6	 910	 912
1.800000	90.5	1.71e+03	48.4	 906	 907
1.900000	95.3	1.8e+03	48.2	 901	 902
2.000000	 100	1.89e+03	  48	 896	 897
2.100000	 105	1.98e+03	47.8	 892	 893
2.200000	 110	2.07e+03	47.6	 887	 888
2.300000	 114	2.16e+03	47.4	 882	 884
2.400000	 119	2.25e+03	47.2	 878	 879
2.500000	 124	2.33e+03	  47	 873	 874
2.600000	 129	2.42e+03	46.8	 869	 870
2.700000	 133	2.51e+03	46.6	 864	 866
2.800000	 138	2.59e+03	46.4	 860	 861
2.900000	 143	2.68e+03	46.2	 855	 857
3.000000	 147	2.77e+03	46.1	 851	 852
3.100000	 152	2.85e+03	45.9	 847	 848
3.200000	 156	2.93e+03	45.7	 843	 844
3.300000	 161	3.02e+03	45.5	 838	 840
3.400000	 165	3.1e+03	45.3	 834	 835
3.500000	 170	3.19e+03	45.2	 830	 831
3.600000	 174	3.27e+03	  45	 826	 827
3.700000	 179	3.35e+03	44.8	 822	 823
3.800000	 183	3.43e+03	44.7	 818	 819
3.900000	 188	3.51e+03	44.5	 814	 815
4.000000	 192	3.6e+03	44.3	 809	 811
4.100000	 197	3.68e+03	44.2	 805	 807
4.200000	 201	3.76e+03	  44	 802	 803
4.300000	 206	3.84e+03	43.8	 798	 799
4.400000	 210	3.92e+03	43.7	 794	 795
4.500000	 214	4e+03	43.5	 790	 791
4.600000	 219	4.07e+03	43.4	 786	 787
4.700000	 223	4.15e+03	43.2	 782	 783
4.800000	 227	4.23e+03	  43	 778	 780
4.900000	 232	4.31e+03	42.9	 775	 776
5.000000	 236	4.39e+03	42.7	 771	 772
5.100000	 240	4.46e+03	42.6	 767	 768
5.200000	 244	4.54e+03	42.4	 763	 765
5.300000	 249	4.61e+03	42.3	 760	 761
5.400000	 253	4.69e+03	42.1	 756	 757
5.500000	 257	4.77e+03	  42	 753	 754
5.600000	 261	4.84e+03	41.8	 749	 750
